city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,Kazimierza Porębskiego,499000,43.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kazimierza-porebskiego-43m2-mzn2046099315,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzYxODA4L2EvbzYxODA4X21zX05ONTU2MzgxXzEuanBnI3Y9MV8zNzg3NTA5NDQ2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-43-m.jpg,2005,wtórny,C.O. miejskie,3,1,1,0,0,1,0,1,0,0,18.57433,54.32174
Gdańsk,Nowosądecka,740000,67.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-nowosadecka-67m2-mzn2044635530,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm9jaWFuL2EvYm9jaWFuX21zX0JVNTU0MzY1XzEuanBnI3Y9MV8zODEwNzkyNDcy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-67-m.jpg,2006,wtórny,C.O. miejskie,3,1,0,0,0,0,0,1,0,0,18.58064,54.32835
Gdańsk,Śląska,660000,50.0,3,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-slaska-50m2-mzn2046103519,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZzEyNjg5Ny9jL2cxMjY4OTdfbXNfVEhPNTEzMTcwXzEuanBnI3Y9MV8zODA2ODg5Mzcz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-50-m.jpg,-1,wtórny,-1,9,0,1,0,0,0,0,1,0,0,18.5888608,54.4067444
Gdańsk,Partyzantów,459000,31.0,1,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-partyzantow-31m2-mzn2045448633,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZzEyNjg5Ny9iL2cxMjY4OTdfbXNfVEhPMTYxMzM3XzEuanBnI3Y9MV8zNzIyOTQ4MTYw/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-partyzantow-31-m.jpg,-1,wtórny,-1,4,0,1,0,0,0,0,1,0,0,18.58199,54.37854
Gdańsk,Tadeusza Jasińskiego,536820,50.0,2,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-tadeusza-jasinskiego-50m2-mzn2043123062,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExMDM4X3dpenVhbGl6YWNqYTkuanBnI3Y9MTc1MjgxNjQ1Nw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-optima-gdansk-50-m.jpg,2025,pierwotny,-1,-1,0,0,0,0,0,0,0,0,0,18.54309797,54.33558132
Gdańsk,Chmielna,1499000,36.0,1,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-36m2-mzn2046141245,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsL2UvbW9yZWFsX21zX0VDNDc1NDA1XzEuanBnI3Y9MV8zODA5MzcwMDY4/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-36-m.jpg,2024,pierwotny,C.O. miejskie,7,0,0,0,1,0,0,1,0,0,18.65934,54.34822
Gdańsk,Stara Stocznia,1200000,46.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-stara-stocznia-46m2-mzn2046207084,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsLzcvbW9yZWFsX21zX0VDMjM5NDk4XzEuanBnI3Y9MV8zODEwODQ0MDgz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-46-m.jpg,2016,wtórny,-1,6,0,0,0,0,1,0,1,0,0,18.6633968,54.3555365
Gdańsk,Angielska Grobla,1400000,60.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-angielska-grobla-60m2-mzn2045893355,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsLzkvbW9yZWFsX21zX0VDNDk0MTI1ODA5XzEuanBnI3Y9MV8zODEwNDE3ODkw/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-60-m.jpg,2020,wtórny,C.O. miejskie,4,1,0,0,1,1,0,0,1,0,18.6622,54.35097
Gdańsk,Chmielna,4290000,102.0,4,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-102m2-mzn2045889216,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsLzAvbW9yZWFsX21zX0VDNzk3MzQwXzEuanBnI3Y9MV8zNzQ2NTU4OTk0/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-102-m.jpg,2019,wtórny,C.O. miejskie,7,1,0,0,1,1,0,0,0,0,18.6561065,54.3464158
Gdańsk,Szafarnia,2292570,121.0,4,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-szafarnia-121m2-mzn2044826754,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsL2EvbW9yZWFsX21zX0VDMTM4NDc2XzEuanBnI3Y9MV8zODEwODU1MDU5/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-szafarnia-121-m.jpg,2008,wtórny,-1,5,0,0,0,0,1,0,0,0,1,18.66083,54.35035
