city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude,distance_from_center,distance_from_airport,distance_from_train_station,distance_from_park,distance_from_university,distance_from_mall
Gdańsk,Gdańska,955544,44.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-gdanska-44m2-mzn2045353283,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9hL3BhcnRuZXJzaW5fbXNfOTAxOTA2XzEuanBnI3Y9MV8zODAyNTM4OTM3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-brzezno-44-m.jpg,2021,wtórny,Co Miejskie,4,1,0,0,1,1,1,1,0,0,54.40163,18.63302,4994.73,5005.99,,5005.74,5002.29,
Gdańsk,Chmielna,987800,36.0,1,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-36m2-mzn2045862181,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9mL3BhcnRuZXJzaW5fbXNfNDk4NTcwXzEuanBnI3Y9MV8zODAyNTQ1ODI2/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-36-m.jpg,2024,pierwotny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.34812,18.65785,4989.59,5000.85,,5000.61,4997.16,
Gdańsk,Chmielna,1785015,56.0,1,6.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-56m2-mzn2045354480,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi8yL3BhcnRuZXJzaW5fbXNfNjU2Nzc1XzEuanBnI3Y9MV8zODAyNjUxMzU3/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-56-m.jpg,2024,wtórny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.3481485,18.6578566,4989.59,5000.85,,5000.61,4997.16,
Gdańsk,Chmielna,1943515,66.0,1,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-66m2-mzn2045354481,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9mL3BhcnRuZXJzaW5fbXNfOTYxMDg3XzEuanBnI3Y9MV8zODAyNjUxMzY3/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-66-m.jpg,2024,wtórny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.3481485,18.6578566,4989.59,5000.85,,5000.61,4997.16,
Gdańsk,Wrzeszcz,1146139,61.0,3,8.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-61m2-mzn2043091262,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi85L3BhcnRuZXJzaW5fbXNfMTMwNjA4XzEuanBnI3Y9MV8zODAyODkyNDg2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-61-m.jpg,2025,pierwotny,Co Miejskie,10,0,0,0,1,1,0,1,0,0,54.38895,18.6234,4995.01,5006.27,,5006.03,5002.58,
Gdańsk,Chmielna,1562014,50.0,1,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-50m2-mzn2045354476,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi85L3BhcnRuZXJzaW5fbXNfMjE2MjMxXzEuanBnI3Y9MV8zODAyNjUxMzMy/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-50-m.jpg,2024,wtórny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.3481485,18.6578566,4989.59,5000.85,,5000.61,4997.16,
Gdańsk,Chmielna,1562014,50.0,1,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-50m2-mzn2045179604,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9hL3BhcnRuZXJzaW5fbXNfNDI4MTEwXzEuanBnI3Y9MV8zODAyNjUxMzE0/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-50-m.jpg,2024,pierwotny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.3481485,18.6578566,4989.59,5000.85,,5000.61,4997.16,
Gdańsk,Świętej Barbary,830000,40.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-sw-barbary-40m2-mzn2045107804,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi83L3BhcnRuZXJzaW5fbXNfMzQzNjI0XzEuanBnI3Y9MV8zNzg1MzA1NTE1/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-40-m.jpg,2018,wtórny,Co Miejskie,5,1,0,1,1,1,0,0,1,1,54.34831,18.66185,4989.21,5000.47,,5000.23,4996.78,
Gdańsk,Antoniego Słonimskiego,1045000,43.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-antoniego-slonimskiego-43m2-mzn2045242866,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi9lL3BhcnRuZXJzaW5fbXNfODc3NjkzXzEuanBnI3Y9MV8zNzc0MTkzMjQ5/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-43-m.jpg,2013,wtórny,Co Miejskie,6,1,0,0,1,1,0,0,0,0,54.38465,18.59105,4997.93,5009.19,,5008.94,5005.5,
Gdańsk,Chmielna,1063427,41.0,1,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-41m2-mzn2045354478,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvcGFydG5lcnNpbi84L3BhcnRuZXJzaW5fbXNfMzQ3Mjc1XzEuanBnI3Y9MV8zODAyNjUxMzQ1/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-41-m.jpg,2024,wtórny,Co Miejskie,6,0,0,0,1,0,0,0,0,0,54.3481485,18.6578566,4989.59,5000.85,,5000.61,4997.16,
