city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,latitude,longitude
Gdańsk,Obrońców Wybrzeża,1450000,66.0,3,10.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-obroncow-wybrzeza-66m2-mzn2045958037,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9hL21oZ2RfbXNfTUc5NzQwMzVfMS5qcGcjdj0xXzM3NTIxMjYzNDE=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-66-m.jpg,2018,wtórny,Co Miejskie,17,1,0,1,1,1,0,1,0,0,54.4105835,18.5959544
Gdańsk,Nowatorów,850000,62.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-kokoszki-nowatorow-62m2-mzn2044839592,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC85L21oZ2RfbXNfTUczNDkwNzhfMS5qcGcjdj0xXzM4MDg3MTYzNTM=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-kokoszki-62-m.jpg,2021,wtórny,Co Miejskie,2,1,0,0,1,1,0,1,0,0,54.3577441,18.4921944
Gdańsk,Pańska,1299000,75.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-panska-75m2-mzn2045602250,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9lL21oZ2RfbXNfTUc3NTU0MjRfMS5qcGcjdj0xXzM4MDg3MTYzOTg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-75-m.jpg,1956,wtórny,Gazowe,3,1,1,0,1,1,0,0,0,0,54.3524869,18.6511252
Gdańsk,Nadmorski Dwór,1395000,45.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-nadmorski-dwor-45m2-mzn2046067939,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9mL21oZ2RfbXNfTUc2OTg0ODFfMS5qcGcjdj0xXzM3OTc3MjIwNDQ=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-brzezno-45-m.jpg,2011,wtórny,Co Miejskie,3,1,0,0,1,1,1,0,0,0,54.4076695,18.6186225
Gdańsk,Mostek,377435,26.0,1,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-mostek-26m2-mzn2045896113,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8zL21oZ2RfbXNfTUcxMzQyNTdfMS5qcGcjdj0xXzM4MDIyNDQ0OTk=/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-26-m.jpg,2025,pierwotny,Co Miejskie,4,1,0,0,1,0,0,1,0,1,54.3509946,18.6738436
Gdańsk,Twarda,395469,25.0,1,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-mlyniska-twarda-25m2-mzn2045879306,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9iL21oZ2RfbXNfTUc1ODY2MzRfMS5qcGcjdj0xXzM4MDIyNDQ0NzE=/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-mlyniska-25-m.jpg,2026,pierwotny,Co Miejskie,6,1,0,0,1,1,0,1,0,0,54.3761434,18.6343523
Gdańsk,Kartuska,653428,37.0,2,6.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-kartuska-37m2-mzn2045880923,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC81L21oZ2RfbXNfTUc4NjMxMTFfMS5qcGcjdj0xXzM4MDIyNDQ0Nzc=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-siedlce-37-m.jpg,-1,pierwotny,Co Miejskie,6,1,0,0,1,1,0,1,0,0,54.3441318,18.547453
Gdańsk,Aleja Grunwaldzka,889000,54.0,3,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-aleja-grunwaldzka-54m2-mzn2045841122,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9lL21oZ2RfbXNfTUcxMDM5NDdfMS5qcGcjdj0xXzM3NzAwOTM1OTE=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-54-m.jpg,1970,wtórny,Co Miejskie,10,0,1,1,1,1,0,1,0,0,54.4046859,18.5318617
Gdańsk,Ludwika Waryńskiego,999000,69.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-ludwika-warynskiego-69m2-mzn2046099495,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8zL21oZ2RfbXNfTUc1MDU3MjRfMS5qcGcjdj0xXzM3NjY1NDE1Nzc=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-69-m.jpg,1958,wtórny,Co Miejskie,3,0,1,0,1,0,0,0,0,0,54.3799387,18.6127808
Gdańsk,Ferdynanda Magellana,1100000,53.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-magellana-53m2-mzn2045846948,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC80L21oZ2RfbXNfTUcyNTE1NzBfMS5qcGcjdj0xXzM3Njc3NDQ4MjU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-53-m.jpg,2025,wtórny,Co Miejskie,5,1,1,0,1,1,0,1,0,0,54.3662682,18.5841834
