city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,"Bogumiła Kobieli, Brzeźno, Gdańsk",667680.0,34.0,1,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-kobieli-4-34m2-mzn2044561509,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExNDU1X3dpenVhbGl6YWNqYTEuanBnI3Y9MTc2MjMzNTIzNw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-kobieli-4-gdansk-34-m.jpg,2026,Pierwotny,-1,4,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Bogumiła Kobieli, Brzeźno, Gdańsk",1718650.0,92.0,4,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-kobieli-4-92m2-mzn2044561514,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExNDU1X3dpenVhbGl6YWNqYTEuanBnI3Y9MTc2MjMzNTIzNw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-kobieli-4-gdansk-92-m.jpg,2026,Pierwotny,-1,4,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Jelitkowski Dwór, Przymorze, Gdańsk",980000.0,47.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-jelitkowski-dwor-47m2-mzn2046380692,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS80L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0NDMyNzQ3XzEuanBnI3Y9MV8zODIwOTU4MjY0/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-47-m.jpg,-1,Wtórny,-1,3,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Dywizjonu 303, Zaspa, Gdańsk",920000.0,73.0,4,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-dywizjonu-303-73m2-mzn2046267144,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS8xL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0MDkwOTkxXzEuanBnI3Y9MV8zODEwMDk3ODgy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-73-m.jpg,1979,Wtórny,-1,9,1,1,0,1,1,0,0,0,0,,
Gdańsk,"Pilotów, Zaspa-Młyniec, Gdańsk",1250000.0,73.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-pilotow-73m2-mzn2046282486,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS8yL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0MTcxOTQ5XzEuanBnI3Y9MV8zODExNzEwODQy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-73-m.jpg,-1,Wtórny,-1,5,0,1,0,1,0,0,0,0,0,,
Gdańsk,"Oliwa, Gdańsk",1280389.0,68.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-68m2-mzn2046183565,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm43NzkwMi8wL2JuNzc5MDJfbXNfMTA5XzEuanBlZyN2PTJfMzc4NjM5MDc2Mw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-68-m.jpg,2024,Pierwotny,-1,4,0,0,0,1,0,0,1,0,0,,
Gdańsk,"Kamienna Grobla, Gdańsk, pomorskie",848190.0,40.0,1,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-kamienna-grobla-40m2-mzn2044861821,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExNTQ2X3dpenVhbGl6YWNqYTEuanBnI3Y9MTc1NDY2MjczNg==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-esencja-gdansk-40-m.jpg,2027,Pierwotny,-1,-1,0,0,0,0,0,0,1,0,0,,
Gdańsk,"Sienna Grobla, Śródmieście, Gdańsk",1896840.0,86.0,4,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-sienna-grobla-86m2-mzn2045405208,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzEwNjk1X3dpenVhbGl6YWNqYTQuanBnI3Y9MTc2MjMzOTIwMw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-nadmotlawie-apartments-gdansk-86-m.jpg,2022,Pierwotny,-1,6,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Kamienna Grobla, Gdańsk, pomorskie",956120.0,46.0,2,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-kamienna-grobla-46m2-mzn2044861827,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExNTQ2X3dpenVhbGl6YWNqYTUuanBnI3Y9MTc1NDY2MjczNg==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-esencja-gdansk-46-m.jpg,2027,Pierwotny,-1,-1,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Prof. Mariana Osińskiego, Kiełpinek, Gdańsk",488717.0,39.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-osinskiego-39m2-mzn2046099923,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvaG9zc2EvMC9ob3NzYV9tc19XTyUyNTJGUDM1JTI1MkYzNV82LmpwZyN2PTFfMzgzOTUwNTI2NQ==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-wiszace-ogrody-gdansk-39-m.jpg,2026,Pierwotny,C.O. miejskie,5,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Prof. Mariana Osińskiego, Kiełpinek, Gdańsk",926697.0,80.0,4,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-osinskiego-80m2-mzn2045874873,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvaG9zc2EvOC9ob3NzYV9tc19XTyUyNTJGUDMlMjUyRjcwXzEuanBnI3Y9MV8zODM5NTA1ODY3/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-wiszace-ogrody-gdansk-80-m.jpg,2026,Pierwotny,-1,7,0,0,0,1,0,0,0,1,0,,
Gdańsk,"Jaskółcza, Dolne Miasto, Gdańsk",1457760.0,91.0,4,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jaskolcza-91m2-mzn2044344080,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExMzkxX3dpenVhbGl6YWNqYTIuanBnI3Y9MTc1MjgxNjE3MA==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-jaskolcza-gdansk-91-m.jpg,2026,Pierwotny,-1,-1,0,0,0,0,0,0,1,0,0,,
Gdańsk,"Sienna Grobla, Śródmieście, Gdańsk",2100000.0,91.0,4,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-sienna-grobla-91m2-mzn2045405212,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzEwNjk1X3dpenVhbGl6YWNqYTMuanBnI3Y9MTc2MjMzOTIwMw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-nadmotlawie-apartments-gdansk-91-m.jpg,2022,Pierwotny,-1,6,0,0,0,0,0,0,0,0,0,,
Gdańsk,"Leszczyńskich, Zaspa, Gdańsk",651224.0,32.0,1,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-leszczynskich-2-32m2-mzn2045553744,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExNzgxX3dpenVhbGl6YWNqYTQuanBnI3Y9MTc2MjMzNTYwNA==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-leszczynskich-2-gdansk-32-m.jpg,2026,Pierwotny,-1,5,0,0,0,0,0,0,1,0,0,,
