street,price_pln,size_m2,rooms,floor,detail_url,year_built,coords
Potęgowska,1799000,36 m²,2 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-potegowska-36m2-mzn2045335006,2023,"54.3358,18.5535885"
Przytulna,629900,67 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-przytulna-67m2-mzn2044876833,2005,"54.35274,18.53323"
Leszczynowa,629900,57 m²,2 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-leszczynowa-57m2-mzn2045859606,2014,"54.3317145,18.5557433"
Storczykowa,516900,87 m²,4 pokoje,piętro 4/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-kokoszki-storczykowa-87m2-mzn2044686913,2003,"54.3551146,18.5100533"
Mariana Seredyńskiego,516900,54 m²,2 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-mariana-seredynskiego-54m2-mzn2045276683,1905,"54.34385203,18.66231233"
Bolesława Krzywoustego,699999,56 m²,2 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-boleslawa-krzywoustego-56m2-mzn2045840690,2012,"54.41225447,18.57935379"
Łąkowa,699999,36 m²,1 pokój,piętro 5/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-lakowa-36m2-mzn2045753033,2022,"54.34621737,18.66543486"
Władysława IV,589000,98 m²,5 pokoi,piętro 2/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-wladyslawa-iv-98m2-mzn2045724211,1936,"54.39718,18.67393"
Maćkowy,589000,62 m²,3 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-chelm-62m2-mzn2045719580,-1,"54.30638889,18.60666667"
Stanisława Hebanowskiego,430000,54 m²,3 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-chelm-stanislawa-hebanowskiego-54m2-mzn2045815597,-1,"54.33187097,18.62800422"
ul. Nadwiślańska 50,430000,27 m²,1 pokój,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-nadwislanska-50-27m2-mzn2045208380,2023,"54.34720203,18.81608248"
Niepołomicka,829000,37 m²,2 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-niepolomicka-37m2-mzn2045819869,2019,"54.3164915,18.59757351"
Nadmorski Dwór,829000,45 m²,2 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-nadmorski-dwor-45m2-mzn2045375410,2011,"54.40711811,18.62095547"
