city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,coords
Gdańsk,Jaskółcza,1749000,40 m²,2 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-jaskolcza-40m2-mzn2045891941,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzExMjM4OS9kL28xMTIzODlfbXNfRE9NSTU3MDIwMl8xLmpwZyN2PTFfMzc0NDMxNzEwMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-40-m.jpg,1981,"54.3428722,18.6604614"
Gdańsk,Marsa,1749000,80 m²,4 pokoje,piętro 1/1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-osowa-marsa-80m2-mzn2045892946,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9lL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNjg1NjQ1XzEuanBnI3Y9MV8zNzQ0MDgxMjE2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-80-m.jpg,2008,"54.42016488,18.48230238"
Gdańsk,Piaskowa,960000,39 m²,2 pokoje,piętro 9/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piaskowa-39m2-mzn2045912563,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS8wL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNzQ2NDgxXzEuanBnI3Y9MV8zNzQ4Nzk2MTk3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-39-m.jpg,-1,"54.32898929,18.62888349"
Gdańsk,Niepołomicka,960000,36 m²,2 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-niepolomicka-36m2-mzn2045893627,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS80L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNjkwMzM5XzEuanBnI3Y9MV8zNzQ0MDg4NTgz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-36-m.jpg,2025,"54.31349803,18.5959107"
Gdańsk,Żuławska,849000,43 m²,3 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-zulawska-43m2-mzn2045892671,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9iL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNjgyMDkxXzEuanBnI3Y9MV8zNzQzOTM2MTk3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-43-m.jpg,1970,"54.32296284,18.63653585"
Gdańsk,Borkowska,849000,36 m²,2 pokoje,piętro 5/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-gorna-gdansk-poludnie-borkowska-36m2-mzn2045893644,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS81L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNjkwNDExXzEuanBnI3Y9MV8zNzQ0MDk0MDI2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-36-m.jpg,2024,"54.29388888,18.61382855"
Gdańsk,Lawendowe Wzgórze,599999,38 m²,2 pokoje,parter/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-lawendowe-wzgorze-38m2-mzn2045896936,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9mL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNzA1NDEzXzEuanBnI3Y9MV8zNzQ0NDMyMDMz/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-38-m.jpg,-1,"54.32918276,18.56557676"
Gdańsk,Ujeścisko-Łostowice,599999,40 m²,2 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kazimierza-porebskiego-40m2-mzn2045239168,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS84L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQwMTc5MTI3XzEuanBnI3Y9MV8zNjE5MjM4MjI1/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-40-m.jpg,2003,"54.32041079,18.57761302"
Gdańsk,Granitowa,850000,17 m²,1 pokój,piętro 6/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-granitowa-17m2-mzn2045950649,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9jL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyODU4MDUzXzEuanBnI3Y9MV8zNzUwNzY1MDc1/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-17-m.jpg,-1,"54.32943975,18.62350533"
Gdańsk,Mazurska,850000,58 m²,4 pokoje,piętro 1/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-mazurska-58m2-mzn2045893077,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9hL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQyNjg2MDc5XzEuanBnI3Y9MV8zNzQ0MDA3MTY3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-58-m.jpg,-1,"54.40807952,18.63417139"
